TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Knots),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-800NGX PMDG House Winglets,19:1:41,3046.02373582696918674628,150,2017/5/30,30.45860082909956645381,-86.52141087703017774402,1.88456255963039542856,0.01280750706953051078,192.11158069423362348971,5.73939889706610895104,-0.00039349607347015180,108.30070534600143616899,799.96267170819703551388,2.19304855411880295080,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-20.28116226196289062500,98.41443062654261098032,98.41451076489470040087,-0.56,-0.12,-14.48,-22.79221151337758755062,-7.25204135522126946967,-106.21496344787266252752,
PMDG 737-800NGX PMDG House Winglets,19:1:41,3046.09922222696923199692,150,2017/5/30,30.45852862958729545539,-86.52142881987951739120,1.84312572228520510365,0.00454068723194288575,192.11156195865919471544,5.73388697717424999922,-0.00041151190701506352,108.46067640516484686941,798.15690231630048856459,2.19030736786461188714,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-20.54840087890625000000,98.41672466204171598747,98.41680480709960932018,-0.56,-0.12,-14.63,-22.82504268120544921317,-7.33150842227082399916,-106.36826549076654657711,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.20184242696905130288,150,2017/5/30,30.45843031063773054257,-86.52145325375953177627,1.79142972720443593992,0.00611442594229771180,192.11153521153465817406,5.72983586581170190044,-0.00044262782708670340,108.68200934516050892853,795.67019754425575683854,2.18649668034158173313,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-20.91087150573730468750,98.41994891973313031031,98.42002907393798238900,-0.56,-0.12,-14.85,-22.86975032866500967543,-7.43885957419499277421,-106.57709783046556140107,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.27956712696914109983,150,2017/5/30,30.45835571518111350997,-86.52147179187991810068,1.75447947043974838977,0.00000000000000000000,192.11152379053046956869,5.72793825432648695539,-0.00045108585275136447,108.84904522365985712895,793.76318500865443184011,2.18361200216643380756,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-21.18425559997558593750,98.42238258175584064702,98.42246274291208862905,-0.56,-0.12,-15.00,-22.90373167367113182991,-7.51760526314113786128,-106.73570208201185494090,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.38213952696924025076,150,2017/5/30,30.45825710239413552927,-86.52149629858919865910,1.70738446160985080091,0.01238467207364832984,192.11149569354046207081,5.72557222173083690819,-0.00046327958234651452,109.06930274115659074141,791.21627114503485245223,2.17980077437415920016,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-21.54278373718261718750,98.42559546636799439057,98.42567563671751429411,-0.56,-0.12,-15.20,-22.94867311898806860881,-7.61835176578918993329,-106.94554609988561821865,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.45915452696954162093,150,2017/5/30,30.45818293296513346036,-86.52151473071340603838,1.67274440964597537196,-0.00000000000000000000,192.11147117437681686170,5.72333133798337367892,-0.00044215891601617096,109.23489425659171558891,789.28197588367731896142,2.17693205506380538239,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-21.80983924865722656250,98.42801231749226076317,98.42809249476354693797,-0.56,-0.12,-15.35,-22.98257032537300048602,-7.69174839679022248617,-107.10346753888035209457,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.53493372696993901627,150,2017/5/30,30.45810984680078803422,-86.52153289364574106912,1.64084305013825737518,-0.00000000000000000000,192.11143971363387095153,5.72325662650281863364,-0.00040144633326464837,109.39681991577140252048,787.36057082867137069115,2.89882096424257262868,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-22.07101058959960937500,98.43036835296230435688,98.43044853708768471279,-0.56,-0.12,-15.50,-23.01595436687492934880,-7.76559424083163740704,-107.25892109326416345993,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.63571242696980334586,150,2017/5/30,30.45801248516811199352,-86.52155708938438749556,1.60350912883534646447,-0.00606983813070392959,192.11141661381935819009,5.72693955119819442245,-0.00034187455260410715,109.61477744208433193762,784.77709728987417747703,2.89270228354077207911,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-22.41584014892578125000,98.44070700276290608599,98.44078720183090069895,-0.56,-0.12,-15.69,-23.06047988369641288386,-7.86129090051255374760,-107.46616028569088996392,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.73404464919212841778,150,2017/5/30,30.45791730556194210067,-86.52158074288675493335,1.57040362830265678440,-0.00000000000000000000,192.11139198224819324423,5.73157114072687701167,-0.00028911441033611820,109.82037938435863111408,782.22685874765113567264,2.88789179951438113036,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-22.74855041503906250000,98.44369075750798003810,98.44377096545611038891,-0.57,-0.12,-15.86,-23.10409265519027854907,-7.94803620057524540243,-107.66914389215773439901,
PMDG 737-800NGX PMDG House Winglets,19:1:42,3046.78823962696969829267,150,2017/5/30,30.45786477134364744757,-86.52159379841197051064,1.55297736086096915820,-0.00000000000000000000,192.11137521680674922209,5.73427166015908795771,-0.00025733097740510884,109.94197277492938269461,780.80924981213581759221,2.88504261568893261014,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-22.92992019653320312500,98.44550397433312127760,98.44558418728954052312,-0.57,-0.12,-15.96,-23.12813832406008174303,-7.99653426175852466429,-107.78104708291178326363,
