TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Meters per second),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-900NGX PMDG House,19:0:55,2999.13369739919471612666,150,2017/5/30,30.49705330261030766792,-86.51185564210366862881,-0.55802731760174628661,0.01074409230012906072,192.10825307243132442636,-0.56162733913729467883,0.00026503474239255914,34.76728686862519168699,94.91497824570150498857,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00133419036865234375,98.07585223090400461388,98.07695700976283603723,-0.03,-0.01,0.00,-7.29953715947969339339,0.00041802436628787305,-34.02463951844654843626,
PMDG 737-900NGX PMDG House,19:0:55,2999.23627887697284677415,150,2017/5/30,30.49702179198740381594,-86.51186347436670587285,-0.55808990988315598791,0.00675077677577353742,192.10816882137905281525,-0.56169215407673278584,0.00032356793065074633,35.00071242438419716336,94.91511924035806657685,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00133818504400551319,98.07518484084332044404,98.07625398830552398977,-0.03,-0.01,0.00,-7.34759709367988200768,0.00042051337298716640,-34.24871382193460078724,
PMDG 737-900NGX PMDG House,19:0:55,2999.31147767697302697343,150,2017/5/30,30.49699856136015441166,-86.51186924854822279940,-0.55813542669137639063,-0.00000000000000000000,192.10808534482578124880,-0.56173903184829987456,0.00037753913538281279,35.16850973341197317268,94.91522334034627306210,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00134159123990684748,98.07467847634291047143,98.07572176326988255823,-0.03,-0.01,0.00,-7.38278851859320628392,0.00042317115346796741,-34.41279748955907535901,
PMDG 737-900NGX PMDG House,19:0:55,2999.41163557697291253135,150,2017/5/30,30.49696744796364455965,-86.51187698204580556194,-0.55819588453863744348,-0.00000000000000000000,192.10798490687491835160,-0.56182143169709986008,0.00043679764370265606,35.39357917785641660657,94.91536486892164248275,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00134869012981653214,98.07403568309105423850,98.07504514755740387955,-0.02,-0.01,0.00,-7.42960824840187772367,0.00043609134051166942,-34.63111854208966633450,
PMDG 737-900NGX PMDG House,19:0:55,2999.50889119919565928285,150,2017/5/30,30.49693704795930315754,-86.51188453820289225860,-0.55825036597028221408,-0.00000000000000000000,192.10791730375390784502,-0.56184468117173480550,0.00047232026191705893,35.60405584547252288985,94.91550127197915287525,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00135344476439058781,98.07334505203677110785,98.07432176712048033096,-0.03,-0.01,0.00,-7.47501596787107835951,0.00042151531108971645,-34.84285608785951637856,
PMDG 737-900NGX PMDG House,19:0:55,2999.53649637697344587650,150,2017/5/30,30.49692838542536321711,-86.51188669133897235497,-0.55826504020505429704,-0.00000000000000000000,192.10790035501000261320,-0.56185563581771447161,0.00048036767824564470,35.66972334120006138392,94.91553931192194681898,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00135407980997115374,98.07319595094260478163,98.07416358864688277208,-0.03,-0.01,0.00,-7.48789330909132111458,0.00041908341686263865,-34.90291078671936020328,
PMDG 737-900NGX PMDG House,19:0:55,2999.63679097697331599193,150,2017/5/30,30.49689678737462017466,-86.51189454524954669523,-0.55831712039828185201,-0.01353754588182815195,192.10784914252377575394,-0.56190332105894369441,0.00049859702134063752,35.89446309407549051684,94.91567700671643592614,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00135588471312075853,98.07257648379005843253,98.07351148759700265600,-0.03,-0.01,0.00,-7.53464481081803860718,0.00041887836819753217,-35.12093389513098884436,
PMDG 737-900NGX PMDG House,19:0:55,2999.71174807697298092535,150,2017/5/30,30.49687304354785766236,-86.51190044692241087887,-0.55835591373893389555,-0.01182980555598714227,192.10784738027533080640,-0.56194505717508747011,0.00048364850178637416,36.06096126132538159936,94.91578054398829067395,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00135779345873743296,98.07210348180221615166,98.07301434689635755149,-0.02,-0.01,0.00,-7.56954813322348751825,0.00042284550192020324,-35.28370457070759869111,
PMDG 737-900NGX PMDG House,19:0:55,2999.78702167697292679804,150,2017/5/30,30.49684908903018509818,-86.51190640094939965365,-0.55839540077068428037,-0.00979008221664493319,192.10789443326822834024,-0.56198982790697016299,0.00043702308342412100,36.22774202134871046610,94.91588570826631610089,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00136074644979089499,98.07163858605473194530,98.07252566748867650404,-0.03,-0.01,0.00,-7.60456840695716973499,0.00042822736433037765,-35.44701507247439309367,
PMDG 737-900NGX PMDG House,19:0:55,2999.86198137697283527814,150,2017/5/30,30.49682512452926985702,-86.51191235744485652503,-0.55843547477182553518,-0.00714761578787183501,192.10794145928622356223,-0.56203549028097454787,0.00037199175422056248,36.39413814120819523623,94.91599177593765546135,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00136477197520434856,98.07119934434848573801,98.07206315141407060310,-0.03,-0.01,0.00,-7.63941260228550689249,0.00043356882291389437,-35.60949570282723897208,
